           t           x           rho             U             p          rhoU             E
     0.15213    -0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15213    -0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15213     0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15213     0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15213     0.02500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15213     0.03500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15213     0.04500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15213     0.05500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15213     0.06500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15213     0.07500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15213     0.08500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15213     0.09500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15213     0.10500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15213     0.11500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15213     0.12500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15213     0.13500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15213     0.14500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15213     0.15500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15213     0.16500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15213     0.17500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15213     0.18500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15213     0.19500      1.000000      0.000000      0.999999      0.000000      2.499999
     0.15213     0.20500      1.000000      0.000002      0.999998      0.000002      2.499995
     0.15213     0.21500      1.000000      0.000006      0.999993      0.000006      2.499983
     0.15213     0.22500      1.000000      0.000020      0.999977      0.000020      2.499942
     0.15213     0.23500      1.000000      0.000061      0.999927      0.000061      2.499818
     0.15213     0.24500      1.000000      0.000180      0.999787      0.000180      2.499467
     0.15213     0.25500      1.000000      0.000493      0.999417      0.000493      2.498542
     0.15213     0.26500      1.000000      0.001251      0.998520      0.001251      2.496301
     0.15213     0.27500      1.000000      0.002932      0.996532      0.002932      2.491334
     0.15213     0.28500      1.000000      0.006316      0.992532      0.006316      2.481350
     0.15213     0.29500      1.000000      0.012450      0.985288      0.012450      2.463299
     0.15213     0.30500      1.000000      0.022414      0.973538      0.022414      2.434096
     0.15213     0.31500      1.000000      0.036920      0.956473      0.036920      2.391865
     0.15213     0.32500      1.000000      0.055966      0.934108      0.055966      2.336836
     0.15213     0.33500      1.000000      0.078985      0.907313      0.078985      2.271402
     0.15213     0.34500      1.000000      0.104906      0.876982      0.104906      2.197958
     0.15213     0.35500      1.000000      0.130626      0.846811      0.130626      2.125559
     0.15213     0.36500      1.000000      0.156665      0.818909      0.156665      2.059545
     0.15213     0.37500      1.000000      0.181115      0.788182      0.181115      1.986856
