           t           x           rho             U             p          rhoU             E
     0.03381    -0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381    -0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.02500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.03500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.04500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.05500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.06500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.07500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.08500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.09500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.10500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.11500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.12500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.13500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.14500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.15500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.16500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.17500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.18500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.19500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.20500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.21500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.22500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.23500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.24500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.25500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.26500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.27500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.28500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.29500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.30500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.31500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.32500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.33500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.34500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.35500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.36500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.37500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.03381     0.38500      1.000000      0.000001      0.999999      0.000001      2.499998
     0.03381     0.39500      1.000000      0.000006      0.999993      0.000006      2.499983
     0.03381     0.40500      1.000000      0.000050      0.999941      0.000050      2.499853
     0.03381     0.41500      1.000000      0.000338      0.999600      0.000338      2.499000
     0.03381     0.42500      1.000000      0.001835      0.997829      0.001835      2.494575
     0.03381     0.43500      1.000000      0.007921      0.990640      0.007921      2.476632
     0.03381     0.44500      1.000000      0.026965      0.968212      0.026965      2.420894
     0.03381     0.45500      1.000000      0.072756      0.914965      0.072756      2.290059
     0.03381     0.46500      0.999999      0.150926      0.817098      0.150926      2.054135
     0.03381     0.47500      0.999977      0.256627      0.734694      0.256621      1.869663
     0.03381     0.48500      0.999576      0.306938      0.616178      0.306808      1.587530
     0.03381     0.49500      0.995057      0.419249      0.551763      0.417176      1.466858
     0.03381     0.50500      0.955905      0.497129      0.437936      0.475208      1.212959
     0.03381     0.51500      0.831795      0.519756      0.330038      0.432331      0.937449
     0.03381     0.52500      0.595443      0.491856      0.255261      0.292872      0.710179
     0.03381     0.53500      0.370024      0.427319      0.197716      0.158118      0.528074
     0.03381     0.54500      0.227415      0.298603      0.152077      0.067907      0.390332
     0.03381     0.55500      0.159993      0.144898      0.121317      0.023183      0.304971
     0.03381     0.56500      0.134913      0.048337      0.106600      0.006521      0.266657
     0.03381     0.57500      0.127443      0.012675      0.101690      0.001615      0.254235
     0.03381     0.58500      0.125539      0.002882      0.100382      0.000362      0.250955
     0.03381     0.59500      0.125112      0.000612      0.100081      0.000077      0.250203
     0.03381     0.60500      0.125022      0.000121      0.100016      0.000015      0.250040
     0.03381     0.61500      0.125004      0.000024      0.100003      0.000003      0.250008
     0.03381     0.62500      0.125001      0.000004      0.100001      0.000001      0.250001
     0.03381     0.63500      0.125000      0.000001      0.100000      0.000000      0.250000
     0.03381     0.64500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.65500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.66500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.67500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.68500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.69500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.70500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.71500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.72500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.73500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.74500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.75500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.76500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.77500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.78500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.79500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.80500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.81500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.82500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.83500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.84500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.85500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.86500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.87500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.88500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.89500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.90500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.91500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.92500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.93500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.94500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.95500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.96500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.97500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.98500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     0.99500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     1.00500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.03381     1.01500      0.125000      0.000000      0.100000      0.000000      0.250000
