           t           x           rho             U             p          rhoU             E
     0.10564    -0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10564    -0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10564     0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10564     0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10564     0.02500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10564     0.03500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10564     0.04500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10564     0.05500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10564     0.06500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10564     0.07500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10564     0.08500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10564     0.09500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10564     0.10500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10564     0.11500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10564     0.12500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10564     0.13500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10564     0.14500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10564     0.15500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10564     0.16500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10564     0.17500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10564     0.18500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10564     0.19500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10564     0.20500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10564     0.21500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10564     0.22500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10564     0.23500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10564     0.24500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10564     0.25500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10564     0.26500      1.000000      0.000001      0.999999      0.000001      2.499998
     0.10564     0.27500      1.000000      0.000002      0.999997      0.000002      2.499993
     0.10564     0.28500      1.000000      0.000010      0.999988      0.000010      2.499970
     0.10564     0.29500      1.000000      0.000039      0.999954      0.000039      2.499885
     0.10564     0.30500      1.000000      0.000137      0.999837      0.000137      2.499593
     0.10564     0.31500      1.000000      0.000445      0.999474      0.000445      2.498685
     0.10564     0.32500      1.000000      0.001308      0.998452      0.001308      2.496132
     0.10564     0.33500      1.000000      0.003482      0.995881      0.003482      2.489709
     0.10564     0.34500      1.000000      0.008336      0.990146      0.008336      2.475399
     0.10564     0.35500      1.000000      0.017858      0.978911      0.017858      2.447436
     0.10564     0.36500      1.000000      0.034190      0.959679      0.034190      2.399781
     0.10564     0.37500      1.000000      0.058828      0.930953      0.058828      2.329113
     0.10564     0.38500      1.000000      0.089868      0.893306      0.089868      2.237302
     0.10564     0.39500      1.000000      0.124725      0.857056      0.124725      2.150417
     0.10564     0.40500      1.000000      0.158334      0.814330      0.158334      2.048359
     0.10564     0.41500      1.000000      0.193090      0.771706      0.193090      1.947908
     0.10564     0.42500      1.000000      0.231922      0.738566      0.231922      1.873309
     0.10564     0.43500      1.000000      0.262495      0.695315      0.262495      1.772739
     0.10564     0.44500      1.000000      0.298986      0.652624      0.298986      1.676255
     0.10564     0.45500      1.000000      0.341623      0.617779      0.341623      1.602800
     0.10564     0.46500      1.000000      0.368556      0.574848      0.368556      1.505037
     0.10564     0.47500      1.000000      0.407631      0.538743      0.407631      1.429939
     0.10564     0.48500      0.999999      0.446453      0.504532      0.446452      1.360991
     0.10564     0.49500      0.999993      0.467867      0.466208      0.467863      1.274970
     0.10564     0.50500      0.999958      0.502956      0.440874      0.502935      1.228662
     0.10564     0.51500      0.999788      0.528434      0.414742      0.528322      1.176446
     0.10564     0.52500      0.999095      0.544629      0.392147      0.544136      1.128545
     0.10564     0.53500      0.996718      0.564665      0.379040      0.562812      1.106499
     0.10564     0.54500      0.989674      0.573913      0.364509      0.567986      1.074260
     0.10564     0.55500      0.971487      0.579202      0.350470      0.562687      1.039131
     0.10564     0.56500      0.930401      0.578195      0.336380      0.537954      0.996471
     0.10564     0.57500      0.849040      0.567933      0.316634      0.482198      0.928514
     0.10564     0.58500      0.711420      0.527243      0.279780      0.375092      0.798332
     0.10564     0.59500      0.539198      0.447835      0.227975      0.241472      0.624006
     0.10564     0.60500      0.383853      0.389769      0.191876      0.149614      0.508847
     0.10564     0.61500      0.271455      0.375873      0.173799      0.102032      0.453674
     0.10564     0.62500      0.200362      0.348652      0.159758      0.069857      0.411573
     0.10564     0.63500      0.159613      0.250760      0.137709      0.040024      0.349292
     0.10564     0.64500      0.139055      0.125479      0.117585      0.017448      0.295056
     0.10564     0.65500      0.130084      0.047968      0.106487      0.006240      0.266367
     0.10564     0.66500      0.126675      0.015713      0.102094      0.001990      0.255250
     0.10564     0.67500      0.125512      0.004722      0.100626      0.000593      0.251567
     0.10564     0.68500      0.125146      0.001337      0.100177      0.000167      0.250443
     0.10564     0.69500      0.125039      0.000360      0.100048      0.000045      0.250119
     0.10564     0.70500      0.125010      0.000092      0.100012      0.000012      0.250030
     0.10564     0.71500      0.125002      0.000023      0.100003      0.000003      0.250007
     0.10564     0.72500      0.125001      0.000005      0.100001      0.000001      0.250002
     0.10564     0.73500      0.125000      0.000001      0.100000      0.000000      0.250000
     0.10564     0.74500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.10564     0.75500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.10564     0.76500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.10564     0.77500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.10564     0.78500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.10564     0.79500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.10564     0.80500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.10564     0.81500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.10564     0.82500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.10564     0.83500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.10564     0.84500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.10564     0.85500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.10564     0.86500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.10564     0.87500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.10564     0.88500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.10564     0.89500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.10564     0.90500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.10564     0.91500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.10564     0.92500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.10564     0.93500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.10564     0.94500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.10564     0.95500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.10564     0.96500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.10564     0.97500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.10564     0.98500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.10564     0.99500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.10564     1.00500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.10564     1.01500      0.125000      0.000000      0.100000      0.000000      0.250000
