           t           x           rho             U             p          rhoU             E
     0.16058    -0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16058    -0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16058     0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16058     0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16058     0.02500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16058     0.03500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16058     0.04500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16058     0.05500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16058     0.06500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16058     0.07500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16058     0.08500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16058     0.09500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16058     0.10500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16058     0.11500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16058     0.12500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16058     0.13500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16058     0.14500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16058     0.15500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16058     0.16500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16058     0.17500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16058     0.18500      1.000000      0.000001      0.999999      0.000001      2.499998
     0.16058     0.19500      1.000000      0.000002      0.999998      0.000002      2.499994
     0.16058     0.20500      1.000000      0.000007      0.999991      0.000007      2.499979
     0.16058     0.21500      1.000000      0.000023      0.999972      0.000023      2.499931
     0.16058     0.22500      1.000000      0.000071      0.999916      0.000071      2.499790
     0.16058     0.23500      1.000000      0.000202      0.999761      0.000202      2.499403
     0.16058     0.24500      1.000000      0.000537      0.999365      0.000537      2.498412
     0.16058     0.25500      1.000000      0.001328      0.998429      0.001328      2.496074
     0.16058     0.26500      1.000000      0.003040      0.996405      0.003040      2.491017
     0.16058     0.27500      1.000000      0.006409      0.992421      0.006409      2.481074
     0.16058     0.28500      1.000000      0.012404      0.985342      0.012404      2.463432
     0.16058     0.29500      1.000000      0.021994      0.974033      0.021994      2.435324
     0.16058     0.30500      1.000000      0.035797      0.957788      0.035797      2.395111
     0.16058     0.31500      1.000000      0.053818      0.936654      0.053818      2.343082
     0.16058     0.32500      1.000000      0.075475      0.911287      0.075475      2.281066
     0.16058     0.33500      1.000000      0.100057      0.882672      0.100057      2.211687
     0.16058     0.34500      1.000000      0.125011      0.854273      0.125011      2.143497
     0.16058     0.35500      1.000000      0.148292      0.825740      0.148292      2.075346
     0.16058     0.36500      1.000000      0.173983      0.798306      0.173983      2.010900
     0.16058     0.37500      1.000000      0.199166      0.770257      0.199166      1.945477
     0.16058     0.38500      1.000000      0.220392      0.741503      0.220392      1.878043
     0.16058     0.39500      1.000000      0.247272      0.714976      0.247272      1.818013
     0.16058     0.40500      1.000000      0.274220      0.687869      0.274220      1.757270
     0.16058     0.41500      1.000000      0.293884      0.658086      0.293884      1.688399
     0.16058     0.42500      1.000000      0.321315      0.632563      0.321315      1.633028
     0.16058     0.43500      1.000000      0.348696      0.605269      0.348696      1.573967
     0.16058     0.44500      1.000000      0.368473      0.575366      0.368473      1.506302
     0.16058     0.45500      1.000000      0.396513      0.553111      0.396513      1.461388
     0.16058     0.46500      1.000000      0.420170      0.525958      0.420170      1.403167
     0.16058     0.47500      1.000000      0.439989      0.498799      0.439989      1.343794
     0.16058     0.48500      1.000000      0.467667      0.478955      0.467667      1.306744
     0.16058     0.49500      1.000000      0.485041      0.454902      0.485041      1.254887
     0.16058     0.50500      1.000000      0.505455      0.433520      0.505455      1.211543
     0.16058     0.51500      0.999999      0.527530      0.416359      0.527529      1.180040
     0.16058     0.52500      0.999994      0.538505      0.398085      0.538502      1.140206
     0.16058     0.53500      0.999975      0.554085      0.385409      0.554071      1.117025
     0.16058     0.54500      0.999906      0.566624      0.375290      0.566570      1.098740
     0.16058     0.55500      0.999678      0.571763      0.366032      0.571579      1.078485
     0.16058     0.56500      0.999001      0.578716      0.360615      0.578138      1.068826
     0.16058     0.57500      0.997161      0.583001      0.356292      0.581346      1.060193
     0.16058     0.58500      0.992585      0.585851      0.351461      0.581507      1.048991
     0.16058     0.59500      0.982158      0.586875      0.346804      0.576404      1.036149
     0.16058     0.60500      0.960349      0.585000      0.340771      0.561804      1.016255
     0.16058     0.61500      0.918490      0.578814      0.331094      0.531634      0.981593
     0.16058     0.62500      0.844956      0.567697      0.315568      0.479679      0.925077
     0.16058     0.63500      0.729471      0.547969      0.290645      0.399727      0.836132
     0.16058     0.64500      0.582599      0.487851      0.247481      0.284221      0.688033
     0.16058     0.65500      0.438218      0.386359      0.198148      0.169310      0.528076
     0.16058     0.66500      0.321034      0.308752      0.165600      0.099120      0.429302
     0.16058     0.67500      0.239315      0.286493      0.152232      0.068562      0.390402
     0.16058     0.68500      0.187790      0.297445      0.149067      0.055857      0.380975
     0.16058     0.69500      0.157132      0.294373      0.144762      0.046256      0.368712
     0.16058     0.70500      0.140024      0.222357      0.131620      0.031135      0.332512
     0.16058     0.71500      0.131303      0.110423      0.115119      0.014499      0.288598
     0.16058     0.72500      0.127398      0.041891      0.105618      0.005337      0.264158
     0.16058     0.73500      0.125848      0.013907      0.101849      0.001750      0.254634
     0.16058     0.74500      0.125283      0.004345      0.100576      0.000544      0.251440
     0.16058     0.75500      0.125090      0.001311      0.100173      0.000164      0.250434
     0.16058     0.76500      0.125027      0.000384      0.100051      0.000048      0.250127
     0.16058     0.77500      0.125008      0.000109      0.100014      0.000014      0.250036
     0.16058     0.78500      0.125002      0.000030      0.100004      0.000004      0.250010
     0.16058     0.79500      0.125001      0.000008      0.100001      0.000001      0.250003
     0.16058     0.80500      0.125000      0.000002      0.100000      0.000000      0.250001
     0.16058     0.81500      0.125000      0.000001      0.100000      0.000000      0.250000
     0.16058     0.82500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.16058     0.83500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.16058     0.84500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.16058     0.85500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.16058     0.86500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.16058     0.87500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.16058     0.88500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.16058     0.89500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.16058     0.90500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.16058     0.91500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.16058     0.92500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.16058     0.93500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.16058     0.94500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.16058     0.95500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.16058     0.96500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.16058     0.97500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.16058     0.98500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.16058     0.99500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.16058     1.00500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.16058     1.01500      0.125000      0.000000      0.100000      0.000000      0.250000
