           t           x           rho             U             p          rhoU             E
     0.10142    -0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10142    -0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10142     0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10142     0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10142     0.02500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10142     0.03500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10142     0.04500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10142     0.05500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10142     0.06500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10142     0.07500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10142     0.08500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10142     0.09500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10142     0.10500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10142     0.11500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10142     0.12500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10142     0.13500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10142     0.14500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10142     0.15500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10142     0.16500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10142     0.17500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10142     0.18500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10142     0.19500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10142     0.20500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10142     0.21500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10142     0.22500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10142     0.23500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10142     0.24500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10142     0.25500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.10142     0.26500      1.000000      0.000000      1.000000      0.000000      2.499999
     0.10142     0.27500      1.000000      0.000001      0.999999      0.000001      2.499997
     0.10142     0.28500      1.000000      0.000004      0.999995      0.000004      2.499988
     0.10142     0.29500      1.000000      0.000017      0.999979      0.000017      2.499949
     0.10142     0.30500      1.000000      0.000066      0.999922      0.000066      2.499805
     0.10142     0.31500      1.000000      0.000229      0.999729      0.000229      2.499322
     0.10142     0.32500      1.000000      0.000724      0.999143      0.000724      2.497857
     0.10142     0.33500      1.000000      0.002075      0.997546      0.002075      2.493867
     0.10142     0.34500      1.000000      0.005345      0.993679      0.005345      2.484213
     0.10142     0.35500      1.000000      0.012318      0.985445      0.012318      2.463688
     0.10142     0.36500      1.000000      0.025309      0.970132      0.025309      2.425650
     0.10142     0.37500      1.000000      0.046465      0.945328      0.046465      2.364399
     0.10142     0.38500      1.000000      0.076279      0.909795      0.076279      2.277397
     0.10142     0.39500      1.000000      0.111603      0.872119      0.111603      2.186525
     0.10142     0.40500      1.000000      0.143625      0.829424      0.143625      2.083874
     0.10142     0.41500      1.000000      0.182565      0.786595      0.182565      1.983153
     0.10142     0.42500      1.000000      0.222736      0.748973      0.222736      1.897239
     0.10142     0.43500      1.000000      0.251042      0.704510      0.251042      1.792786
     0.10142     0.44500      1.000000      0.291814      0.664471      0.291814      1.703756
     0.10142     0.45500      1.000000      0.334271      0.624426      0.334271      1.616933
     0.10142     0.46500      1.000000      0.362776      0.578799      0.362776      1.512800
     0.10142     0.47500      1.000000      0.405345      0.545759      0.405345      1.446551
     0.10142     0.48500      0.999999      0.440635      0.506240      0.440635      1.362679
     0.10142     0.49500      0.999990      0.466259      0.467179      0.466254      1.276645
     0.10142     0.50500      0.999938      0.505003      0.442615      0.504971      1.234044
     0.10142     0.51500      0.999686      0.526799      0.413743      0.526633      1.173072
     0.10142     0.52500      0.998673      0.546179      0.392224      0.545455      1.129517
     0.10142     0.53500      0.995267      0.565971      0.377898      0.563292      1.104148
     0.10142     0.54500      0.985399      0.573628      0.361666      0.565252      1.066286
     0.10142     0.55500      0.960635      0.578779      0.346836      0.555995      1.027990
     0.10142     0.56500      0.906487      0.575799      0.330668      0.521954      0.976940
     0.10142     0.57500      0.803548      0.557586      0.305540      0.448047      0.888762
     0.10142     0.58500      0.644181      0.496106      0.258512      0.319582      0.725553
     0.10142     0.59500      0.471351      0.421813      0.211427      0.198822      0.570501
     0.10142     0.60500      0.330900      0.387126      0.183730      0.128100      0.484121
     0.10142     0.61500      0.236031      0.370452      0.168888      0.087438      0.438416
     0.10142     0.62500      0.178842      0.308253      0.149038      0.055129      0.381093
