           t           x           rho             U             p          rhoU             E
     0.15635    -0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15635    -0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15635     0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15635     0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15635     0.02500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15635     0.03500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15635     0.04500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15635     0.05500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15635     0.06500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15635     0.07500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15635     0.08500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15635     0.09500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15635     0.10500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15635     0.11500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15635     0.12500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15635     0.13500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15635     0.14500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15635     0.15500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15635     0.16500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15635     0.17500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.15635     0.18500      1.000000      0.000000      1.000000      0.000000      2.499999
     0.15635     0.19500      1.000000      0.000001      0.999999      0.000001      2.499997
     0.15635     0.20500      1.000000      0.000004      0.999996      0.000004      2.499990
     0.15635     0.21500      1.000000      0.000012      0.999986      0.000012      2.499965
     0.15635     0.22500      1.000000      0.000038      0.999955      0.000038      2.499888
     0.15635     0.23500      1.000000      0.000113      0.999866      0.000113      2.499665
     0.15635     0.24500      1.000000      0.000316      0.999626      0.000316      2.499064
     0.15635     0.25500      1.000000      0.000823      0.999027      0.000823      2.497567
     0.15635     0.26500      1.000000      0.001983      0.997654      0.001983      2.494138
     0.15635     0.27500      1.000000      0.004407      0.994788      0.004407      2.486980
     0.15635     0.28500      1.000000      0.008993      0.989370      0.008993      2.473465
     0.15635     0.29500      1.000000      0.016797      0.980160      0.016797      2.450540
     0.15635     0.30500      1.000000      0.028710      0.966124      0.028710      2.415722
     0.15635     0.31500      1.000000      0.045089      0.946884      0.045089      2.368227
     0.15635     0.32500      1.000000      0.065581      0.922846      0.065581      2.309265
     0.15635     0.33500      1.000000      0.089627      0.894897      0.089627      2.241259
     0.15635     0.34500      1.000000      0.115282      0.865190      0.115282      2.169620
     0.15635     0.35500      1.000000      0.139610      0.835973      0.139610      2.099679
     0.15635     0.36500      1.000000      0.165406      0.808752      0.165406      2.035561
     0.15635     0.37500      1.000000      0.190579      0.778638      0.190579      1.964756
     0.15635     0.38500      1.000000      0.213680      0.749174      0.213680      1.895764
     0.15635     0.39500      1.000000      0.240835      0.724266      0.240835      1.839667
     0.15635     0.40500      1.000000      0.266805      0.694030      0.266805      1.770668
     0.15635     0.41500      1.000000      0.288658      0.663265      0.288658      1.699825
     0.15635     0.42500      1.000000      0.317249      0.639609      0.317249      1.649346
     0.15635     0.43500      1.000000      0.342495      0.609652      0.342495      1.582781
     0.15635     0.44500      1.000000      0.365264      0.579286      0.365264      1.514924
     0.15635     0.45500      1.000000      0.395092      0.556643      0.395092      1.469656
     0.15635     0.46500      1.000000      0.415442      0.528229      0.415442      1.406868
     0.15635     0.47500      1.000000      0.439112      0.501634      0.439112      1.350496
     0.15635     0.48500      1.000000      0.467180      0.480243      0.467180      1.309735
     0.15635     0.49500      1.000000      0.483263      0.454767      0.483263      1.253690
     0.15635     0.50500      1.000000      0.506299      0.435003      0.506299      1.215678
     0.15635     0.51500      0.999998      0.526639      0.415828      0.526638      1.178245
     0.15635     0.52500      0.999991      0.538551      0.397276      0.538546      1.138207
     0.15635     0.53500      0.999963      0.555859      0.385654      0.555838      1.118618
     0.15635     0.54500      0.999864      0.566162      0.374459      0.566085      1.096396
     0.15635     0.55500      0.999540      0.572020      0.365379      0.571756      1.076977
     0.15635     0.56500      0.998590      0.579557      0.360430      0.578739      1.068782
     0.15635     0.57500      0.996053      0.583694      0.355533      0.581390      1.058508
     0.15635     0.58500      0.989862      0.586163      0.350422      0.580220      1.046107
     0.15635     0.59500      0.976046      0.586421      0.345171      0.572374      1.030752
     0.15635     0.60500      0.947805      0.583260      0.337843      0.552817      1.005825
     0.15635     0.61500      0.894977      0.575329      0.325965      0.514906      0.963032
     0.15635     0.62500      0.805102      0.561981      0.307295      0.452452      0.895373
     0.15635     0.63500      0.672628      0.529949      0.275325      0.356458      0.782764
     0.15635     0.64500      0.521371      0.445066      0.225590      0.232044      0.615612
     0.15635     0.65500      0.385012      0.348895      0.182056      0.134329      0.478573
     0.15635     0.66500      0.281979      0.297094      0.159069      0.083774      0.410117
     0.15635     0.67500      0.213860      0.297577      0.151643      0.063640      0.388577
     0.15635     0.68500      0.172137      0.307102      0.148644      0.052864      0.379727
     0.15635     0.69500      0.148042      0.271648      0.140083      0.040215      0.355669
     0.15635     0.70500      0.135154      0.161489      0.122496      0.021826      0.308002
     0.15635     0.71500      0.129019      0.067885      0.109182      0.008758      0.273253
     0.15635     0.72500      0.126461      0.023624      0.103151      0.002988      0.257912
     0.15635     0.73500      0.125498      0.007537      0.101000      0.000946      0.252503
     0.15635     0.74500      0.125161      0.002302      0.100305      0.000288      0.250762
     0.15635     0.75500      0.125049      0.000681      0.100090      0.000085      0.250225
     0.15635     0.76500      0.125015      0.000195      0.100026      0.000024      0.250065
     0.15635     0.77500      0.125004      0.000054      0.100007      0.000007      0.250018
     0.15635     0.78500      0.125001      0.000015      0.100002      0.000002      0.250005
     0.15635     0.79500      0.125000      0.000004      0.100001      0.000000      0.250001
     0.15635     0.80500      0.125000      0.000001      0.100000      0.000000      0.250000
     0.15635     0.81500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.15635     0.82500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.15635     0.83500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.15635     0.84500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.15635     0.85500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.15635     0.86500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.15635     0.87500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.15635     0.88500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.15635     0.89500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.15635     0.90500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.15635     0.91500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.15635     0.92500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.15635     0.93500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.15635     0.94500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.15635     0.95500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.15635     0.96500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.15635     0.97500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.15635     0.98500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.15635     0.99500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.15635     1.00500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.15635     1.01500      0.125000      0.000000      0.100000      0.000000      0.250000
