           t           x           rho             U             p          rhoU             E
     0.20000    -0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.20000    -0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.20000     0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.20000     0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.20000     0.02500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.20000     0.03500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.20000     0.04500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.20000     0.05500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.20000     0.06500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.20000     0.07500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.20000     0.08500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.20000     0.09500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.20000     0.10500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.20000     0.11500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.20000     0.12500      1.000000      0.000000      1.000000      0.000000      2.499999
     0.20000     0.13500      1.000000      0.000001      0.999999      0.000001      2.499997
     0.20000     0.14500      1.000000      0.000004      0.999996      0.000004      2.499989
     0.20000     0.15500      1.000000      0.000011      0.999987      0.000011      2.499967
     0.20000     0.16500      1.000000      0.000032      0.999962      0.000032      2.499906
     0.20000     0.17500      1.000000      0.000087      0.999897      0.000087      2.499742
     0.20000     0.18500      1.000000      0.000226      0.999732      0.000226      2.499330
     0.20000     0.19500      1.000000      0.000552      0.999346      0.000552      2.498366
     0.20000     0.20500      1.000000      0.001265      0.998503      0.001265      2.496258
     0.20000     0.21500      1.000000      0.002710      0.996794      0.002710      2.491990
     0.20000     0.22500      1.000000      0.005405      0.993608      0.005405      2.484035
     0.20000     0.23500      1.000000      0.010011      0.988167      0.010011      2.470468
     0.20000     0.24500      1.000000      0.017194      0.979690      0.017194      2.449373
     0.20000     0.25500      1.000000      0.027419      0.967641      0.027419      2.419479
     0.20000     0.26500      1.000000      0.040779      0.951933      0.040779      2.380664
     0.20000     0.27500      1.000000      0.056975      0.932926      0.056975      2.333938
     0.20000     0.28500      1.000000      0.075555      0.911289      0.075555      2.281078
     0.20000     0.29500      1.000000      0.095575      0.887610      0.095575      2.223593
     0.20000     0.30500      1.000000      0.116286      0.864409      0.116286      2.167783
     0.20000     0.31500      1.000000      0.136182      0.840488      0.136182      2.110493
     0.20000     0.32500      1.000000      0.156551      0.817062      0.156551      2.054910
     0.20000     0.33500      1.000000      0.177160      0.794894      0.177160      2.002929
     0.20000     0.34500      1.000000      0.196700      0.770988      0.196700      1.946816
     0.20000     0.35500      1.000000      0.216668      0.747555      0.216668      1.892359
