           t           x           rho             U             p          rhoU             E
     0.13100    -0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13100    -0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13100     0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13100     0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13100     0.02500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13100     0.03500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13100     0.04500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13100     0.05500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13100     0.06500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13100     0.07500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13100     0.08500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13100     0.09500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13100     0.10500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13100     0.11500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13100     0.12500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13100     0.13500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13100     0.14500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13100     0.15500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13100     0.16500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13100     0.17500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13100     0.18500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13100     0.19500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13100     0.20500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13100     0.21500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13100     0.22500      1.000000      0.000000      1.000000      0.000000      2.499999
     0.13100     0.23500      1.000000      0.000002      0.999998      0.000002      2.499995
     0.13100     0.24500      1.000000      0.000006      0.999993      0.000006      2.499982
     0.13100     0.25500      1.000000      0.000022      0.999974      0.000022      2.499936
     0.13100     0.26500      1.000000      0.000072      0.999914      0.000072      2.499786
     0.13100     0.27500      1.000000      0.000224      0.999735      0.000224      2.499339
     0.13100     0.28500      1.000000      0.000638      0.999245      0.000638      2.498114
     0.13100     0.29500      1.000000      0.001674      0.998020      0.001674      2.495052
     0.13100     0.30500      1.000000      0.004018      0.995248      0.004018      2.488128
     0.13100     0.31500      1.000000      0.008777      0.989624      0.008777      2.474099
     0.13100     0.32500      1.000000      0.017379      0.979474      0.017379      2.448837
     0.13100     0.33500      1.000000      0.031151      0.963259      0.031151      2.408633
     0.13100     0.34500      1.000000      0.050687      0.940283      0.050687      2.351992
     0.13100     0.35500      1.000000      0.075614      0.911407      0.075614      2.281376
     0.13100     0.36500      1.000000      0.103806      0.877622      0.103806      2.199443
     0.13100     0.37500      1.000000      0.134300      0.843493      0.134300      2.117752
     0.13100     0.38500      1.000000      0.164016      0.811098      0.164016      2.041197
     0.13100     0.39500      1.000000      0.189154      0.776750      0.189154      1.959765
     0.13100     0.40500      1.000000      0.221183      0.743957      0.221183      1.884353
     0.13100     0.41500      1.000000      0.253469      0.712244      0.253469      1.812734
     0.13100     0.42500      1.000000      0.276737      0.676441      0.276737      1.729394
     0.13100     0.43500      1.000000      0.309650      0.645415      0.309650      1.661479
     0.13100     0.44500      1.000000      0.342927      0.612759      0.342927      1.590698
     0.13100     0.45500      1.000000      0.366225      0.576661      0.366225      1.508712
     0.13100     0.46500      1.000000      0.400102      0.550064      0.400102      1.455200
     0.13100     0.47500      1.000000      0.428766      0.517874      0.428766      1.386605
     0.13100     0.48500      1.000000      0.450910      0.485552      0.450910      1.315539
     0.13100     0.49500      0.999999      0.483624      0.463477      0.483623      1.275637
     0.13100     0.50500      0.999996      0.503160      0.436720      0.503158      1.218385
     0.13100     0.51500      0.999980      0.524271      0.413997      0.524261      1.172421
     0.13100     0.52500      0.999910      0.546092      0.397335      0.546044      1.142433
     0.13100     0.53500      0.999647      0.555762      0.380916      0.555566      1.106672
     0.13100     0.54500      0.998774      0.568981      0.371116      0.568283      1.089460
     0.13100     0.55500      0.996204      0.578532      0.363535      0.576336      1.075552
     0.13100     0.56500      0.989429      0.582466      0.354753      0.576309      1.054723
     0.13100     0.57500      0.973407      0.584279      0.346583      0.568741      1.032609
     0.13100     0.58500      0.939298      0.581205      0.336692      0.545925      1.000377
     0.13100     0.59500      0.874003      0.572617      0.321806      0.500469      0.947804
     0.13100     0.60500      0.762841      0.551631      0.296601      0.420807      0.857567
     0.13100     0.61500      0.609226      0.487306      0.250609      0.296880      0.698859
     0.13100     0.62500      0.452455      0.396740      0.202212      0.179507      0.541140
     0.13100     0.63500      0.325454      0.340831      0.173491      0.110925      0.452631
     0.13100     0.64500      0.238446      0.337781      0.162182      0.080542      0.419058
     0.13100     0.65500      0.184435      0.335537      0.155559      0.061885      0.399280
     0.13100     0.66500      0.153300      0.269068      0.139926      0.041248      0.355364
     0.13100     0.67500      0.137002      0.143927      0.120108      0.019718      0.301689
     0.13100     0.68500      0.129562      0.057192      0.107735      0.007410      0.269550
     0.13100     0.69500      0.126589      0.019319      0.102576      0.002446      0.256463
     0.13100     0.70500      0.125517      0.006023      0.100799      0.000756      0.251999
     0.13100     0.71500      0.125158      0.001789      0.100237      0.000224      0.250592
     0.13100     0.72500      0.125046      0.000510      0.100068      0.000064      0.250169
     0.13100     0.73500      0.125013      0.000140      0.100019      0.000017      0.250046
     0.13100     0.74500      0.125003      0.000037      0.100005      0.000005      0.250012
     0.13100     0.75500      0.125001      0.000009      0.100001      0.000001      0.250003
     0.13100     0.76500      0.125000      0.000002      0.100000      0.000000      0.250001
     0.13100     0.77500      0.125000      0.000001      0.100000      0.000000      0.250000
     0.13100     0.78500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.13100     0.79500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.13100     0.80500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.13100     0.81500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.13100     0.82500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.13100     0.83500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.13100     0.84500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.13100     0.85500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.13100     0.86500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.13100     0.87500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.13100     0.88500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.13100     0.89500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.13100     0.90500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.13100     0.91500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.13100     0.92500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.13100     0.93500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.13100     0.94500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.13100     0.95500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.13100     0.96500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.13100     0.97500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.13100     0.98500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.13100     0.99500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.13100     1.00500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.13100     1.01500      0.125000      0.000000      0.100000      0.000000      0.250000
