           t           x           rho             U             p          rhoU             E
     0.09719    -0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.09719    -0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.09719     0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.09719     0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.09719     0.02500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.09719     0.03500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.09719     0.04500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.09719     0.05500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.09719     0.06500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.09719     0.07500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.09719     0.08500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.09719     0.09500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.09719     0.10500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.09719     0.11500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.09719     0.12500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.09719     0.13500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.09719     0.14500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.09719     0.15500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.09719     0.16500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.09719     0.17500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.09719     0.18500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.09719     0.19500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.09719     0.20500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.09719     0.21500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.09719     0.22500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.09719     0.23500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.09719     0.24500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.09719     0.25500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.09719     0.26500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.09719     0.27500      1.000000      0.000000      1.000000      0.000000      2.499999
     0.09719     0.28500      1.000000      0.000002      0.999998      0.000002      2.499995
     0.09719     0.29500      1.000000      0.000007      0.999991      0.000007      2.499978
     0.09719     0.30500      1.000000      0.000030      0.999965      0.000030      2.499912
     0.09719     0.31500      1.000000      0.000112      0.999868      0.000112      2.499670
     0.09719     0.32500      1.000000      0.000380      0.999550      0.000380      2.498875
     0.09719     0.33500      1.000000      0.001174      0.998611      0.001174      2.496529
     0.09719     0.34500      1.000000      0.003263      0.996140      0.003263      2.490357
     0.09719     0.35500      1.000000      0.008114      0.990409      0.008114      2.476054
     0.09719     0.36500      1.000000      0.017957      0.978794      0.017957      2.447147
     0.09719     0.37500      1.000000      0.035336      0.958355      0.035336      2.396511
     0.09719     0.38500      1.000000      0.062173      0.926670      0.062173      2.318607
     0.09719     0.39500      1.000000      0.097636      0.887501      0.097636      2.223518
     0.09719     0.40500      1.000000      0.129686      0.844435      0.129686      2.119496
     0.09719     0.41500      1.000000      0.170071      0.803789      0.170071      2.023935
     0.09719     0.42500      1.000000      0.210940      0.760040      0.210940      1.922348
     0.09719     0.43500      1.000000      0.241184      0.713353      0.241184      1.812467
     0.09719     0.44500      1.000000      0.284097      0.677262      0.284097      1.733511
     0.09719     0.45500      1.000000      0.324425      0.631799      0.324425      1.632123
