           t           x           rho             U             p          rhoU             E
     0.19016    -0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.19016    -0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.19016     0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.19016     0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.19016     0.02500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.19016     0.03500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.19016     0.04500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.19016     0.05500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.19016     0.06500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.19016     0.07500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.19016     0.08500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.19016     0.09500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.19016     0.10500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.19016     0.11500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.19016     0.12500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.19016     0.13500      1.000000      0.000000      1.000000      0.000000      2.499999
     0.19016     0.14500      1.000000      0.000001      0.999999      0.000001      2.499998
     0.19016     0.15500      1.000000      0.000002      0.999997      0.000002      2.499993
     0.19016     0.16500      1.000000      0.000008      0.999991      0.000008      2.499978
     0.19016     0.17500      1.000000      0.000023      0.999973      0.000023      2.499932
     0.19016     0.18500      1.000000      0.000065      0.999923      0.000065      2.499807
     0.19016     0.19500      1.000000      0.000175      0.999793      0.000175      2.499483
     0.19016     0.20500      1.000000      0.000442      0.999477      0.000442      2.498693
     0.19016     0.21500      1.000000      0.001047      0.998761      0.001047      2.496903
     0.19016     0.22500      1.000000      0.002317      0.997259      0.002317      2.493151
     0.19016     0.23500      1.000000      0.004767      0.994363      0.004767      2.485918
     0.19016     0.24500      1.000000      0.009088      0.989257      0.009088      2.473183
     0.19016     0.25500      1.000000      0.016026      0.981067      0.016026      2.452796
     0.19016     0.26500      1.000000      0.026156      0.969129      0.026156      2.423164
     0.19016     0.27500      1.000000      0.039666      0.953240      0.039666      2.383887
     0.19016     0.28500      1.000000      0.056309      0.933727      0.056309      2.335902
     0.19016     0.29500      1.000000      0.075524      0.911199      0.075524      2.280849
     0.19016     0.30500      1.000000      0.096827      0.886710      0.096827      2.221463
     0.19016     0.31500      1.000000      0.117607      0.861749      0.117607      2.161289
     0.19016     0.32500      1.000000      0.139415      0.837681      0.139415      2.103922
     0.19016     0.33500      1.000000      0.160575      0.813049      0.160575      2.045514
     0.19016     0.34500      1.000000      0.180653      0.788567      0.180653      1.987735
     0.19016     0.35500      1.000000      0.202885      0.765477      0.202885      1.934273
     0.19016     0.36500      1.000000      0.224496      0.741186      0.224496      1.878164
     0.19016     0.37500      1.000000      0.242882      0.716473      0.242882      1.820678
     0.19016     0.38500      1.000000      0.266022      0.694003      0.266022      1.770390
     0.19016     0.39500      1.000000      0.289139      0.670544      0.289139      1.718161
     0.19016     0.40500      1.000000      0.306049      0.645074      0.306049      1.659518
     0.19016     0.41500      1.000000      0.329537      0.623523      0.329537      1.613105
     0.19016     0.42500      1.000000      0.352610      0.600076      0.352610      1.562358
     0.19016     0.43500      1.000000      0.370045      0.574668      0.370045      1.505138
     0.19016     0.44500      1.000000      0.393914      0.555394      0.393914      1.466070
     0.19016     0.45500      1.000000      0.413818      0.532011      0.413818      1.415651
     0.19016     0.46500      1.000000      0.431763      0.508628      0.431763      1.364780
     0.19016     0.47500      1.000000      0.455444      0.490817      0.455444      1.330758
     0.19016     0.48500      1.000000      0.471355      0.469284      0.471355      1.284297
     0.19016     0.49500      1.000000      0.489718      0.449315      0.489718      1.243200
     0.19016     0.50500      1.000000      0.510882      0.433262      0.510882      1.213655
     0.19016     0.51500      1.000000      0.522399      0.415016      0.522399      1.173989
     0.19016     0.52500      1.000000      0.537907      0.400529      0.537906      1.145994
     0.19016     0.53500      0.999998      0.553245      0.389229      0.553244      1.126112
     0.19016     0.54500      0.999993      0.560228      0.377466      0.560224      1.100591
     0.19016     0.55500      0.999975      0.569356      0.369464      0.569341      1.085739
     0.19016     0.56500      0.999915      0.576314      0.363369      0.576265      1.074476
     0.19016     0.57500      0.999735      0.580270      0.358464      0.580116      1.064472
     0.19016     0.58500      0.999236      0.584224      0.355556      0.583778      1.059418
     0.19016     0.59500      0.997952      0.586393      0.352679      0.585192      1.053274
     0.19016     0.60500      0.994883      0.587688      0.349814      0.584681      1.046339
     0.19016     0.61500      0.988065      0.587939      0.347058      0.580921      1.038418
     0.19016     0.62500      0.973978      0.586596      0.343454      0.571331      1.026206
     0.19016     0.63500      0.946910      0.582808      0.337393      0.551867      1.004299
     0.19016     0.64500      0.898580      0.574746      0.326558      0.516455      0.964810
     0.19016     0.65500      0.818827      0.562272      0.309437      0.460403      0.903029
     0.19016     0.66500      0.701360      0.545060      0.285685      0.382283      0.818396
     0.19016     0.67500      0.561191      0.494583      0.247316      0.277556      0.686927
     0.19016     0.68500      0.426867      0.389638      0.198069      0.166324      0.527577
     0.19016     0.69500      0.317433      0.294074      0.162347      0.093349      0.419594
     0.19016     0.70500      0.239757      0.249372      0.145584      0.059789      0.371415
     0.19016     0.71500      0.189965      0.250594      0.140949      0.047604      0.358336
     0.19016     0.72500      0.159827      0.261958      0.139834      0.041868      0.355070
     0.19016     0.73500      0.142430      0.247989      0.135843      0.035321      0.343988
     0.19016     0.74500      0.132988      0.171238      0.123718      0.022773      0.311245
     0.19016     0.75500      0.128313      0.080032      0.110820      0.010269      0.277460
     0.19016     0.76500      0.126262      0.029719      0.103965      0.003752      0.259969
     0.19016     0.77500      0.125452      0.009869      0.101310      0.001238      0.253280
     0.19016     0.78500      0.125154      0.003111      0.100412      0.000389      0.251030
     0.19016     0.79500      0.125050      0.000951      0.100126      0.000119      0.250315
     0.19016     0.80500      0.125016      0.000284      0.100038      0.000036      0.250094
     0.19016     0.81500      0.125005      0.000083      0.100011      0.000010      0.250027
     0.19016     0.82500      0.125001      0.000024      0.100003      0.000003      0.250008
     0.19016     0.83500      0.125000      0.000007      0.100001      0.000001      0.250002
     0.19016     0.84500      0.125000      0.000002      0.100000      0.000000      0.250001
