           t           x           rho             U             p          rhoU             E
     0.18593    -0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.18593    -0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.18593     0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.18593     0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.18593     0.02500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.18593     0.03500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.18593     0.04500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.18593     0.05500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.18593     0.06500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.18593     0.07500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.18593     0.08500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.18593     0.09500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.18593     0.10500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.18593     0.11500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.18593     0.12500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.18593     0.13500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.18593     0.14500      1.000000      0.000000      1.000000      0.000000      2.499999
     0.18593     0.15500      1.000000      0.000001      0.999999      0.000001      2.499996
     0.18593     0.16500      1.000000      0.000004      0.999995      0.000004      2.499988
     0.18593     0.17500      1.000000      0.000012      0.999985      0.000012      2.499964
     0.18593     0.18500      1.000000      0.000036      0.999957      0.000036      2.499892
     0.18593     0.19500      1.000000      0.000102      0.999879      0.000102      2.499698
     0.18593     0.20500      1.000000      0.000269      0.999682      0.000269      2.499205
     0.18593     0.21500      1.000000      0.000665      0.999213      0.000665      2.498032
     0.18593     0.22500      1.000000      0.001539      0.998179      0.001539      2.495449
     0.18593     0.23500      1.000000      0.003315      0.996080      0.003315      2.490204
     0.18593     0.24500      1.000000      0.006619      0.992173      0.006619      2.480455
     0.18593     0.25500      1.000000      0.012222      0.985556      0.012222      2.463965
     0.18593     0.26500      1.000000      0.020846      0.975384      0.020846      2.438678
     0.18593     0.27500      1.000000      0.032917      0.961173      0.032917      2.403474
     0.18593     0.28500      1.000000      0.048401      0.942990      0.048401      2.358646
     0.18593     0.29500      1.000000      0.066861      0.921355      0.066861      2.305623
     0.18593     0.30500      1.000000      0.087818      0.897062      0.087818      2.246512
     0.18593     0.31500      1.000000      0.109297      0.871509      0.109297      2.184746
     0.18593     0.32500      1.000000      0.131390      0.847082      0.131390      2.126337
     0.18593     0.33500      1.000000      0.152716      0.821565      0.152716      2.065573
     0.18593     0.34500      1.000000      0.173961      0.796615      0.173961      2.006669
     0.18593     0.35500      1.000000      0.196229      0.773610      0.196229      1.953278
     0.18593     0.36500      1.000000      0.217486      0.747814      0.217486      1.893185
     0.18593     0.37500      1.000000      0.237643      0.722583      0.237643      1.834694
     0.18593     0.38500      1.000000      0.260970      0.701404      0.260970      1.787563
     0.18593     0.39500      1.000000      0.282999      0.675469      0.282999      1.728715
     0.18593     0.40500      1.000000      0.301861      0.649305      0.301861      1.668823
     0.18593     0.41500      1.000000      0.326349      0.629132      0.326349      1.626082
     0.18593     0.42500      1.000000      0.347468      0.603759      0.347468      1.569766
     0.18593     0.43500      1.000000      0.367354      0.578102      0.367354      1.512728
     0.18593     0.44500      1.000000      0.392461      0.558362      0.392461      1.472919
     0.18593     0.45500      1.000000      0.409891      0.534076      0.409891      1.419195
     0.18593     0.46500      1.000000      0.430813      0.511303      0.430813      1.371058
     0.18593     0.47500      1.000000      0.454656      0.492069      0.454656      1.333530
     0.18593     0.48500      1.000000      0.469393      0.469535      0.469393      1.284002
     0.18593     0.49500      1.000000      0.490237      0.451072      0.490237      1.247846
     0.18593     0.50500      1.000000      0.510078      0.433090      0.510077      1.212814
     0.18593     0.51500      1.000000      0.521793      0.414285      0.521793      1.171848
     0.18593     0.52500      0.999999      0.539505      0.401254      0.539504      1.148668
     0.18593     0.53500      0.999997      0.552974      0.388490      0.552972      1.124115
     0.18593     0.54500      0.999990      0.560126      0.376674      0.560120      1.098553
     0.18593     0.55500      0.999964      0.570397      0.369328      0.570376      1.085991
     0.18593     0.56500      0.999878      0.576529      0.362945      0.576459      1.073536
     0.18593     0.57500      0.999626      0.580717      0.358228      0.580499      1.064123
     0.18593     0.58500      0.998935      0.584522      0.355307      0.583899      1.058918
     0.18593     0.59500      0.997183      0.586530      0.352121      0.584878      1.051827
     0.18593     0.60500      0.993066      0.587664      0.349132      0.583589      1.044306
     0.18593     0.61500      0.984082      0.587602      0.346036      0.578249      1.034979
     0.18593     0.62500      0.965884      0.585590      0.341656      0.565612      1.019748
     0.18593     0.63500      0.931655      0.580407      0.334018      0.540739      0.991969
     0.18593     0.64500      0.871991      0.570459      0.320754      0.497435      0.943769
     0.18593     0.65500      0.776727      0.557153      0.300983      0.432756      0.873012
     0.18593     0.66500      0.645712      0.530613      0.272246      0.342623      0.771516
     0.18593     0.67500      0.503772      0.451583      0.225552      0.227495      0.615246
     0.18593     0.68500      0.377217      0.343347      0.180327      0.129516      0.473051
     0.18593     0.69500      0.280490      0.270494      0.153583      0.075871      0.394218
     0.18593     0.70500      0.215298      0.251325      0.143489      0.054110      0.365522
     0.18593     0.71500      0.174789      0.262609      0.141541      0.045901      0.359880
     0.18593     0.72500      0.150800      0.265444      0.139357      0.040029      0.353706
     0.18593     0.73500      0.137353      0.220055      0.131186      0.030225      0.331290
     0.18593     0.74500      0.130356      0.120580      0.116481      0.015718      0.292149
     0.18593     0.75500      0.127111      0.048750      0.106540      0.006197      0.266500
     0.18593     0.76500      0.125774      0.016806      0.102235      0.002114      0.255604
     0.18593     0.77500      0.125268      0.005385      0.100714      0.000675      0.251786
     0.18593     0.78500      0.125089      0.001663      0.100220      0.000208      0.250550
     0.18593     0.79500      0.125028      0.000500      0.100066      0.000063      0.250166
     0.18593     0.80500      0.125009      0.000147      0.100019      0.000018      0.250049
     0.18593     0.81500      0.125003      0.000042      0.100006      0.000005      0.250014
     0.18593     0.82500      0.125001      0.000012      0.100002      0.000001      0.250004
     0.18593     0.83500      0.125000      0.000003      0.100000      0.000000      0.250001
     0.18593     0.84500      0.125000      0.000001      0.100000      0.000000      0.250000
     0.18593     0.85500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.18593     0.86500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.18593     0.87500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.18593     0.88500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.18593     0.89500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.18593     0.90500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.18593     0.91500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.18593     0.92500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.18593     0.93500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.18593     0.94500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.18593     0.95500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.18593     0.96500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.18593     0.97500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.18593     0.98500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.18593     0.99500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.18593     1.00500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.18593     1.01500      0.125000      0.000000      0.100000      0.000000      0.250000
