           t           x           rho             U             p          rhoU             E
     0.17748    -0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.17748    -0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.17748     0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.17748     0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.17748     0.02500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.17748     0.03500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.17748     0.04500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.17748     0.05500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.17748     0.06500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.17748     0.07500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.17748     0.08500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.17748     0.09500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.17748     0.10500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.17748     0.11500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.17748     0.12500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.17748     0.13500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.17748     0.14500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.17748     0.15500      1.000000      0.000000      1.000000      0.000000      2.499999
     0.17748     0.16500      1.000000      0.000001      0.999999      0.000001      2.499997
     0.17748     0.17500      1.000000      0.000003      0.999996      0.000003      2.499990
     0.17748     0.18500      1.000000      0.000010      0.999988      0.000010      2.499969
     0.17748     0.19500      1.000000      0.000032      0.999962      0.000032      2.499906
     0.17748     0.20500      1.000000      0.000091      0.999892      0.000091      2.499730
     0.17748     0.21500      1.000000      0.000246      0.999709      0.000246      2.499272
     0.17748     0.22500      1.000000      0.000623      0.999263      0.000623      2.498157
     0.17748     0.23500      1.000000      0.001472      0.998259      0.001472      2.495648
     0.17748     0.24500      1.000000      0.003230      0.996180      0.003230      2.490454
     0.17748     0.25500      1.000000      0.006560      0.992244      0.006560      2.480631
     0.17748     0.26500      1.000000      0.012288      0.985478      0.012288      2.463771
     0.17748     0.27500      1.000000      0.021211      0.974955      0.021211      2.437611
     0.17748     0.28500      1.000000      0.033807      0.960127      0.033807      2.400889
     0.17748     0.29500      1.000000      0.050052      0.941055      0.050052      2.353889
     0.17748     0.30500      1.000000      0.069487      0.918320      0.069487      2.298213
     0.17748     0.31500      1.000000      0.091427      0.892600      0.091427      2.235679
     0.17748     0.32500      1.000000      0.114424      0.866508      0.114424      2.172817
