           t           x           rho             U             p          rhoU             E
     0.13522    -0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13522    -0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13522     0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13522     0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13522     0.02500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13522     0.03500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13522     0.04500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13522     0.05500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13522     0.06500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13522     0.07500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13522     0.08500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13522     0.09500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13522     0.10500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13522     0.11500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13522     0.12500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13522     0.13500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13522     0.14500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13522     0.15500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13522     0.16500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13522     0.17500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13522     0.18500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13522     0.19500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13522     0.20500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.13522     0.21500      1.000000      0.000000      1.000000      0.000000      2.499999
     0.13522     0.22500      1.000000      0.000001      0.999999      0.000001      2.499997
     0.13522     0.23500      1.000000      0.000004      0.999996      0.000004      2.499989
     0.13522     0.24500      1.000000      0.000013      0.999985      0.000013      2.499961
     0.13522     0.25500      1.000000      0.000044      0.999948      0.000044      2.499870
     0.13522     0.26500      1.000000      0.000138      0.999836      0.000138      2.499590
     0.13522     0.27500      1.000000      0.000404      0.999522      0.000404      2.498806
     0.13522     0.28500      1.000000      0.001087      0.998714      0.001087      2.496785
     0.13522     0.29500      1.000000      0.002690      0.996818      0.002690      2.492049
     0.13522     0.30500      1.000000      0.006081      0.992810      0.006081      2.482042
     0.13522     0.31500      1.000000      0.012503      0.985226      0.012503      2.463143
     0.13522     0.32500      1.000000      0.023317      0.972475      0.023317      2.431460
     0.13522     0.33500      1.000000      0.039489      0.953465      0.039489      2.384441
     0.13522     0.34500      1.000000      0.061021      0.928142      0.061021      2.322216
     0.13522     0.35500      1.000000      0.087286      0.897907      0.087286      2.248578
     0.13522     0.36500      1.000000      0.115762      0.863872      0.115762      2.166380
     0.13522     0.37500      1.000000      0.144559      0.830653      0.144559      2.087082
     0.13522     0.38500      1.000000      0.173575      0.800898      0.173575      2.017310
