           t           x           rho             U             p          rhoU             E
     0.08874    -0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08874    -0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08874     0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08874     0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08874     0.02500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08874     0.03500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08874     0.04500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08874     0.05500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08874     0.06500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08874     0.07500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08874     0.08500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08874     0.09500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08874     0.10500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08874     0.11500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08874     0.12500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08874     0.13500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08874     0.14500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08874     0.15500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08874     0.16500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08874     0.17500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08874     0.18500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08874     0.19500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08874     0.20500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08874     0.21500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08874     0.22500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08874     0.23500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08874     0.24500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08874     0.25500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08874     0.26500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08874     0.27500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08874     0.28500      1.000000      0.000000      1.000000      0.000000      2.499999
     0.08874     0.29500      1.000000      0.000001      0.999999      0.000001      2.499997
     0.08874     0.30500      1.000000      0.000005      0.999994      0.000005      2.499985
     0.08874     0.31500      1.000000      0.000022      0.999974      0.000022      2.499935
     0.08874     0.32500      1.000000      0.000088      0.999896      0.000088      2.499741
     0.08874     0.33500      1.000000      0.000317      0.999625      0.000317      2.499062
     0.08874     0.34500      1.000000      0.001034      0.998776      0.001034      2.496941
     0.08874     0.35500      1.000000      0.003020      0.996428      0.003020      2.491073
     0.08874     0.36500      1.000000      0.007842      0.990730      0.007842      2.476855
     0.08874     0.37500      1.000000      0.018005      0.978739      0.018005      2.447010
     0.08874     0.38500      1.000000      0.036525      0.956936      0.036525      2.393007
     0.08874     0.39500      1.000000      0.066296      0.922398      0.066296      2.308191
     0.08874     0.40500      1.000000      0.102713      0.876962      0.102713      2.197679
     0.08874     0.41500      1.000000      0.143866      0.837749      0.143866      2.104721
     0.08874     0.42500      1.000000      0.180068      0.788183      0.180068      1.986670
     0.08874     0.43500      1.000000      0.221796      0.738500      0.221796      1.870847
     0.08874     0.44500      1.000000      0.269512      0.699218      0.269512      1.784364
     0.08874     0.45500      1.000000      0.301395      0.648700      0.301395      1.667170
     0.08874     0.46500      1.000000      0.347018      0.603378      0.347017      1.568655
     0.08874     0.47500      1.000000      0.394366      0.560513      0.394366      1.479045
     0.08874     0.48500      0.999996      0.423043      0.511953      0.423041      1.369365
     0.08874     0.49500      0.999967      0.468412      0.479308      0.468397      1.307971
     0.08874     0.50500      0.999794      0.502662      0.443378      0.502559      1.234753
     0.08874     0.51500      0.998969      0.523217      0.410345      0.522678      1.162601
     0.08874     0.52500      0.995842      0.551953      0.391619      0.549658      1.130740
     0.08874     0.53500      0.985979      0.567519      0.370984      0.559561      1.086241
     0.08874     0.54500      0.959640      0.575724      0.350666      0.552488      1.035705
     0.08874     0.55500      0.899807      0.574016      0.330317      0.516504      0.974033
     0.08874     0.56500      0.783864      0.549392      0.299488      0.430649      0.867017
     0.08874     0.57500      0.610284      0.481819      0.248807      0.294046      0.692856
     0.08874     0.58500      0.434455      0.422481      0.206733      0.183549      0.555607
     0.08874     0.59500      0.300201      0.396175      0.181786      0.118932      0.478024
     0.08874     0.60500      0.213752      0.350899      0.160924      0.075005      0.415470
     0.08874     0.61500      0.164638      0.238547      0.136249      0.039274      0.345307
     0.08874     0.62500      0.140524      0.115323      0.116198      0.016206      0.291430
     0.08874     0.63500      0.130381      0.042796      0.105786      0.005580      0.264585
     0.08874     0.64500      0.126688      0.013562      0.101807      0.001718      0.254528
     0.08874     0.65500      0.125488      0.003913      0.100519      0.000491      0.251298
     0.08874     0.66500      0.125132      0.001055      0.100140      0.000132      0.250349
     0.08874     0.67500      0.125033      0.000269      0.100036      0.000034      0.250089
     0.08874     0.68500      0.125008      0.000065      0.100009      0.000008      0.250021
     0.08874     0.69500      0.125002      0.000015      0.100002      0.000002      0.250005
     0.08874     0.70500      0.125000      0.000003      0.100000      0.000000      0.250001
     0.08874     0.71500      0.125000      0.000001      0.100000      0.000000      0.250000
     0.08874     0.72500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.08874     0.73500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.08874     0.74500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.08874     0.75500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.08874     0.76500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.08874     0.77500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.08874     0.78500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.08874     0.79500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.08874     0.80500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.08874     0.81500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.08874     0.82500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.08874     0.83500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.08874     0.84500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.08874     0.85500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.08874     0.86500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.08874     0.87500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.08874     0.88500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.08874     0.89500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.08874     0.90500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.08874     0.91500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.08874     0.92500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.08874     0.93500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.08874     0.94500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.08874     0.95500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.08874     0.96500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.08874     0.97500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.08874     0.98500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.08874     0.99500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.08874     1.00500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.08874     1.01500      0.125000      0.000000      0.100000      0.000000      0.250000
