           t           x           rho             U             p          rhoU             E
     0.08029    -0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08029    -0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08029     0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08029     0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08029     0.02500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08029     0.03500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08029     0.04500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08029     0.05500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08029     0.06500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08029     0.07500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08029     0.08500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08029     0.09500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08029     0.10500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08029     0.11500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08029     0.12500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08029     0.13500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08029     0.14500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08029     0.15500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08029     0.16500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08029     0.17500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08029     0.18500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08029     0.19500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08029     0.20500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08029     0.21500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08029     0.22500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08029     0.23500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08029     0.24500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08029     0.25500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08029     0.26500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08029     0.27500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08029     0.28500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08029     0.29500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08029     0.30500      1.000000      0.000001      0.999999      0.000001      2.499998
     0.08029     0.31500      1.000000      0.000003      0.999996      0.000003      2.499991
     0.08029     0.32500      1.000000      0.000015      0.999982      0.000015      2.499955
     0.08029     0.33500      1.000000      0.000066      0.999922      0.000066      2.499805
     0.08029     0.34500      1.000000      0.000256      0.999697      0.000256      2.499243
     0.08029     0.35500      1.000000      0.000890      0.998947      0.000890      2.497367
     0.08029     0.36500      1.000000      0.002752      0.996745      0.002752      2.491865
     0.08029     0.37500      1.000000      0.007512      0.991120      0.007512      2.477829
     0.08029     0.38500      1.000000      0.017989      0.978759      0.017989      2.447059
     0.08029     0.39500      1.000000      0.037784      0.955491      0.037784      2.389442
     0.08029     0.40500      1.000000      0.070237      0.917097      0.070237      2.295208
     0.08029     0.41500      1.000000      0.114095      0.870232      0.114095      2.182089
     0.08029     0.42500      1.000000      0.149095      0.818624      0.149095      2.057673
     0.08029     0.43500      1.000000      0.197137      0.775070      0.197137      1.957106
     0.08029     0.44500      1.000000      0.244685      0.722331      0.244685      1.835763
     0.08029     0.45500      1.000000      0.282004      0.665470      0.282004      1.703439
     0.08029     0.46500      1.000000      0.335429      0.625106      0.335429      1.619020
     0.08029     0.47500      0.999999      0.375100      0.571859      0.375099      1.499997
     0.08029     0.48500      0.999991      0.418025      0.521423      0.418021      1.390930
     0.08029     0.49500      0.999928      0.469393      0.485527      0.469359      1.323974
     0.08029     0.50500      0.999538      0.494251      0.441785      0.494023      1.226548
     0.08029     0.51500      0.997731      0.527002      0.411816      0.525806      1.168091
     0.08029     0.52500      0.991154      0.555599      0.389109      0.550684      1.125753
     0.08029     0.53500      0.971472      0.568359      0.362522      0.552145      1.063214
     0.08029     0.54500      0.922387      0.574143      0.338888      0.529582      0.999247
     0.08029     0.55500      0.819834      0.558283      0.309237      0.457699      0.900856
     0.08029     0.56500      0.650318      0.497957      0.260040      0.323830      0.730727
     0.08029     0.57500      0.464409      0.438684      0.215085      0.203729      0.582398
     0.08029     0.58500      0.317333      0.405477      0.186080      0.128671      0.491288
     0.08029     0.59500      0.221560      0.351079      0.161749      0.077785      0.418027
     0.08029     0.60500      0.167443      0.233534      0.135701      0.039104      0.343818
     0.08029     0.61500      0.141269      0.110899      0.115594      0.015667      0.289853
     0.08029     0.62500      0.130495      0.040370      0.105457      0.005268      0.263749
     0.08029     0.63500      0.126674      0.012506      0.101665      0.001584      0.254174
     0.08029     0.64500      0.125468      0.003513      0.100466      0.000441      0.251165
     0.08029     0.65500      0.125122      0.000919      0.100122      0.000115      0.250304
     0.08029     0.66500      0.125030      0.000226      0.100030      0.000028      0.250075
