           t           x           rho             U             p          rhoU             E
     0.04648    -0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648    -0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.02500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.03500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.04500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.05500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.06500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.07500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.08500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.09500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.10500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.11500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.12500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.13500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.14500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.15500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.16500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.17500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.18500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.19500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.20500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.21500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.22500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.23500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.24500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.25500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.26500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.27500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.28500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.29500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.30500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.31500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.32500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.33500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.34500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.35500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.04648     0.36500      1.000000      0.000001      0.999999      0.000001      2.499996
     0.04648     0.37500      1.000000      0.000009      0.999989      0.000009      2.499973
     0.04648     0.38500      1.000000      0.000058      0.999931      0.000058      2.499828
     0.04648     0.39500      1.000000      0.000311      0.999632      0.000311      2.499081
     0.04648     0.40500      1.000000      0.001404      0.998339      0.001404      2.495848
     0.04648     0.41500      1.000000      0.005313      0.993718      0.005313      2.484310
     0.04648     0.42500      1.000000      0.016684      0.980303      0.016684      2.450896
     0.04648     0.43500      1.000000      0.043384      0.948963      0.043384      2.373348
     0.04648     0.44500      1.000000      0.094327      0.888479      0.094327      2.225645
     0.04648     0.45500      1.000000      0.169607      0.814365      0.169607      2.050296
     0.04648     0.46500      0.999999      0.218724      0.724589      0.218723      1.835394
     0.04648     0.47500      0.999988      0.303157      0.669610      0.303153      1.719978
     0.04648     0.48500      0.999840      0.360965      0.585063      0.360908      1.527795
     0.04648     0.49500      0.998349      0.431375      0.511439      0.430663      1.371485
     0.04648     0.50500      0.987808      0.501114      0.458541      0.495004      1.270380
     0.04648     0.51500      0.947350      0.538277      0.381864      0.509936      1.091903
     0.04648     0.52500      0.835868      0.541208      0.317167      0.452378      0.915333
     0.04648     0.53500      0.630467      0.499393      0.259053      0.314851      0.726250
     0.04648     0.54500      0.415819      0.447779      0.209580      0.186195      0.565637
     0.04648     0.55500      0.264219      0.360835      0.168593      0.095339      0.438682
     0.04648     0.56500      0.180772      0.221378      0.134711      0.040019      0.341206
     0.04648     0.57500      0.143784      0.094667      0.113330      0.013612      0.283970
     0.04648     0.58500      0.130428      0.030132      0.104061      0.003930      0.260212
     0.04648     0.59500      0.126391      0.008009      0.101065      0.001012      0.252665
     0.04648     0.60500      0.125324      0.001907      0.100253      0.000239      0.250632
     0.04648     0.61500      0.125070      0.000422      0.100056      0.000053      0.250139
     0.04648     0.62500      0.125014      0.000088      0.100012      0.000011      0.250029
     0.04648     0.63500      0.125003      0.000018      0.100002      0.000002      0.250006
     0.04648     0.64500      0.125001      0.000003      0.100000      0.000000      0.250001
     0.04648     0.65500      0.125000      0.000001      0.100000      0.000000      0.250000
     0.04648     0.66500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     0.67500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     0.68500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     0.69500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     0.70500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     0.71500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     0.72500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     0.73500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     0.74500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     0.75500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     0.76500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     0.77500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     0.78500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     0.79500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     0.80500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     0.81500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     0.82500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     0.83500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     0.84500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     0.85500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     0.86500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     0.87500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     0.88500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     0.89500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     0.90500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     0.91500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     0.92500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     0.93500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     0.94500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     0.95500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     0.96500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     0.97500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     0.98500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     0.99500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     1.00500      0.125000      0.000000      0.100000      0.000000      0.250000
     0.04648     1.01500      0.125000      0.000000      0.100000      0.000000      0.250000
