           t           x           rho             U             p          rhoU             E
     0.08452    -0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08452    -0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08452     0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08452     0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08452     0.02500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08452     0.03500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08452     0.04500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08452     0.05500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08452     0.06500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08452     0.07500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08452     0.08500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08452     0.09500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08452     0.10500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08452     0.11500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08452     0.12500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08452     0.13500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08452     0.14500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08452     0.15500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08452     0.16500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08452     0.17500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08452     0.18500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08452     0.19500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08452     0.20500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08452     0.21500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08452     0.22500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08452     0.23500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08452     0.24500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08452     0.25500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08452     0.26500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08452     0.27500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08452     0.28500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.08452     0.29500      1.000000      0.000000      1.000000      0.000000      2.499999
     0.08452     0.30500      1.000000      0.000002      0.999998      0.000002      2.499995
     0.08452     0.31500      1.000000      0.000009      0.999990      0.000009      2.499974
     0.08452     0.32500      1.000000      0.000038      0.999955      0.000038      2.499888
     0.08452     0.33500      1.000000      0.000150      0.999823      0.000150      2.499557
     0.08452     0.34500      1.000000      0.000532      0.999370      0.000532      2.498426
     0.08452     0.35500      1.000000      0.001693      0.997998      0.001693      2.494996
     0.08452     0.36500      1.000000      0.004786      0.994340      0.004786      2.485862
     0.08452     0.37500      1.000000      0.011953      0.985876      0.011953      2.464762
     0.08452     0.38500      1.000000      0.026272      0.969001      0.026272      2.422848
     0.08452     0.39500      1.000000      0.051008      0.940045      0.051008      2.351412
     0.08452     0.40500      1.000000      0.087362      0.896281      0.087362      2.244518
     0.08452     0.41500      1.000000      0.130005      0.853499      0.130005      2.142198
     0.08452     0.42500      1.000000      0.163836      0.803601      0.163836      2.022424
     0.08452     0.43500      1.000000      0.210256      0.755834      0.210256      1.911688
