           t           x           rho             U             p          rhoU             E
     0.16481    -0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16481    -0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16481     0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16481     0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16481     0.02500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16481     0.03500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16481     0.04500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16481     0.05500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16481     0.06500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16481     0.07500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16481     0.08500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16481     0.09500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16481     0.10500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16481     0.11500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16481     0.12500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16481     0.13500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16481     0.14500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16481     0.15500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16481     0.16500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.16481     0.17500      1.000000      0.000000      1.000000      0.000000      2.499999
     0.16481     0.18500      1.000000      0.000001      0.999999      0.000001      2.499996
     0.16481     0.19500      1.000000      0.000004      0.999995      0.000004      2.499987
     0.16481     0.20500      1.000000      0.000014      0.999983      0.000014      2.499958
     0.16481     0.21500      1.000000      0.000044      0.999948      0.000044      2.499869
     0.16481     0.22500      1.000000      0.000128      0.999848      0.000128      2.499621
     0.16481     0.23500      1.000000      0.000348      0.999588      0.000348      2.498971
     0.16481     0.24500      1.000000      0.000881      0.998957      0.000881      2.497393
     0.16481     0.25500      1.000000      0.002074      0.997546      0.002074      2.493868
     0.16481     0.26500      1.000000      0.004511      0.994665      0.004511      2.486672
     0.16481     0.27500      1.000000      0.009032      0.989323      0.009032      2.473348
     0.16481     0.28500      1.000000      0.016600      0.980391      0.016600      2.451115
     0.16481     0.29500      1.000000      0.028009      0.966950      0.028009      2.417767
     0.16481     0.30500      1.000000      0.043555      0.948674      0.043555      2.372634
     0.16481     0.31500      1.000000      0.062952      0.925962      0.062952      2.316888
     0.16481     0.32500      1.000000      0.085574      0.899549      0.085574      2.252533
     0.16481     0.33500      1.000000      0.109867      0.871080      0.109867      2.183736
     0.16481     0.34500      1.000000      0.134171      0.844011      0.134171      2.119029
     0.16481     0.35500      1.000000      0.157040      0.815821      0.157040      2.051882
     0.16481     0.36500      1.000000      0.181957      0.788199      0.181957      1.987051
     0.16481     0.37500      1.000000      0.206714      0.762635      0.206714      1.927954
     0.16481     0.38500      1.000000      0.227997      0.733993      0.227997      1.860975
     0.16481     0.39500      1.000000      0.253205      0.706025      0.253205      1.797120
     0.16481     0.40500      1.000000      0.280019      0.682210      0.280019      1.744729
     0.16481     0.41500      1.000000      0.300077      0.653241      0.300077      1.678127
     0.16481     0.42500      1.000000      0.325495      0.625402      0.325495      1.616479
     0.16481     0.43500      1.000000      0.353544      0.601268      0.353544      1.565667
     0.16481     0.44500      1.000000      0.372092      0.572634      0.372092      1.500812
     0.16481     0.45500      1.000000      0.398323      0.548511      0.398323      1.450609
     0.16481     0.46500      1.000000      0.424305      0.524044      0.424305      1.400127
     0.16481     0.47500      1.000000      0.441506      0.497065      0.441506      1.340126
     0.16481     0.48500      1.000000      0.467298      0.477457      0.467298      1.302827
     0.16481     0.49500      1.000000      0.487475      0.454509      0.487475      1.255088
     0.16481     0.50500      1.000000      0.504667      0.432414      0.504667      1.208380
