           t           x           rho             U             p          rhoU             E
     0.05494    -0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494    -0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.02500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.03500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.04500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.05500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.06500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.07500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.08500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.09500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.10500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.11500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.12500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.13500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.14500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.15500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.16500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.17500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.18500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.19500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.20500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.21500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.22500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.23500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.24500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.25500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.26500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.27500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.28500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.29500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.30500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.31500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.32500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.33500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.05494     0.34500      1.000000      0.000000      1.000000      0.000000      2.499999
     0.05494     0.35500      1.000000      0.000003      0.999996      0.000003      2.499991
     0.05494     0.36500      1.000000      0.000018      0.999978      0.000018      2.499946
     0.05494     0.37500      1.000000      0.000097      0.999885      0.000097      2.499712
     0.05494     0.38500      1.000000      0.000449      0.999469      0.000449      2.498672
     0.05494     0.39500      1.000000      0.001782      0.997892      0.001782      2.494732
     0.05494     0.40500      1.000000      0.006033      0.992867      0.006033      2.482186
     0.05494     0.41500      1.000000      0.017293      0.979584      0.017293      2.449109
     0.05494     0.42500      1.000000      0.041877      0.950665      0.041877      2.377540
     0.05494     0.43500      1.000000      0.087471      0.898341      0.087471      2.249678
     0.05494     0.44500      1.000000      0.143287      0.824551      0.143287      2.071643
     0.05494     0.45500      1.000000      0.212707      0.771507      0.212707      1.951390
     0.05494     0.46500      1.000000      0.254376      0.695668      0.254376      1.771523
     0.05494     0.47500      0.999993      0.322119      0.632729      0.322117      1.633703
     0.05494     0.48500      0.999920      0.390181      0.565961      0.390150      1.491017
     0.05494     0.49500      0.999235      0.434383      0.496387      0.434051      1.335240
     0.05494     0.50500      0.994669      0.498869      0.454305      0.496209      1.259534
     0.05494     0.51500      0.975983      0.540035      0.403086      0.527065      1.150032
     0.05494     0.52500      0.918976      0.558910      0.348779      0.513625      1.015484
     0.05494     0.53500      0.786996      0.538726      0.299294      0.423975      0.862439
     0.05494     0.54500      0.580190      0.485532      0.245464      0.281701      0.682047
