           t           x           rho             U             p          rhoU             E
     0.19861    -0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.19861    -0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.19861     0.00500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.19861     0.01500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.19861     0.02500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.19861     0.03500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.19861     0.04500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.19861     0.05500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.19861     0.06500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.19861     0.07500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.19861     0.08500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.19861     0.09500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.19861     0.10500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.19861     0.11500      1.000000      0.000000      1.000000      0.000000      2.500000
     0.19861     0.12500      1.000000      0.000000      1.000000      0.000000      2.499999
     0.19861     0.13500      1.000000      0.000001      0.999999      0.000001      2.499997
     0.19861     0.14500      1.000000      0.000003      0.999997      0.000003      2.499991
     0.19861     0.15500      1.000000      0.000009      0.999989      0.000009      2.499974
     0.19861     0.16500      1.000000      0.000026      0.999969      0.000026      2.499923
     0.19861     0.17500      1.000000      0.000073      0.999914      0.000073      2.499785
     0.19861     0.18500      1.000000      0.000191      0.999774      0.000191      2.499435
     0.19861     0.19500      1.000000      0.000473      0.999441      0.000473      2.498601
     0.19861     0.20500      1.000000      0.001099      0.998700      0.001099      2.496750
     0.19861     0.21500      1.000000      0.002388      0.997175      0.002388      2.492940
     0.19861     0.22500      1.000000      0.004836      0.994281      0.004836      2.485715
     0.19861     0.23500      1.000000      0.009091      0.989253      0.009091      2.473175
     0.19861     0.24500      1.000000      0.015842      0.981284      0.015842      2.453336
     0.19861     0.25500      1.000000      0.025610      0.969772      0.025610      2.424758
     0.19861     0.26500      1.000000      0.038556      0.954544      0.038556      2.387104
     0.19861     0.27500      1.000000      0.054437      0.935903      0.054437      2.341239
     0.19861     0.28500      1.000000      0.072793      0.914496      0.072793      2.288890
     0.19861     0.29500      1.000000      0.092836      0.890840      0.092836      2.231408
     0.19861     0.30500      1.000000      0.113656      0.867440      0.113656      2.175059
     0.19861     0.31500      1.000000      0.133618      0.843367      0.133618      2.117346
     0.19861     0.32500      1.000000      0.154270      0.819826      0.154270      2.061465
     0.19861     0.33500      1.000000      0.174946      0.797401      0.174946      2.008807
     0.19861     0.34500      1.000000      0.194397      0.773391      0.194397      1.952373
     0.19861     0.35500      1.000000      0.214901      0.749841      0.214901      1.897694
     0.19861     0.36500      1.000000      0.236175      0.729082      0.236175      1.850593
     0.19861     0.37500      1.000000      0.255521      0.704608      0.255521      1.794166
     0.19861     0.38500      1.000000      0.274942      0.680398      0.274942      1.738792
     0.19861     0.39500      1.000000      0.297693      0.661232      0.297693      1.697390
     0.19861     0.40500      1.000000      0.316707      0.637000      0.316707      1.642651
     0.19861     0.41500      1.000000      0.336098      0.612569      0.336098      1.587903
     0.19861     0.42500      1.000000      0.359653      0.593391      0.359653      1.548153
     0.19861     0.43500      1.000000      0.376640      0.569884      0.376640      1.495639
     0.19861     0.44500      1.000000      0.397323      0.547634      0.397323      1.448019
     0.19861     0.45500      1.000000      0.420136      0.528391      0.420136      1.409235
     0.19861     0.46500      1.000000      0.434933      0.505926      0.434933      1.359399
     0.19861     0.47500      1.000000      0.455686      0.486992      0.455686      1.321304
     0.19861     0.48500      1.000000      0.476194      0.468116      0.476194      1.283671
     0.19861     0.49500      1.000000      0.489607      0.447679      0.489607      1.239056
     0.19861     0.50500      1.000000      0.509398      0.432424      0.509398      1.210804
     0.19861     0.51500      1.000000      0.525602      0.416150      0.525602      1.178504
